产品信息,设备类型,CPE信息
D-Link SharePort Web File Access,storage-misc,
D-Link SharePort web access,storage-misc,cpe:/a:d-link:shareport_web_access:$1 | cpe:/h:d-link:$2 | cpe:/o:linux:linux_kernel
D-Link VoIP Router http admin,VoIP adapter,
D-Link WAP http config,WAP,
D-Link WAP http ui,WAP,
D-Link Xtreme $1 WAP http config,WAP,cpe:/h:dlink:xtreme_$1
D-Link ffserver httpd,,
D-Link print server http config,print server,
D-Link printer/webcam http config,,
D-Link router admin httpd,WAP,cpe:/o:linux:linux_kernel
D-Link router http config,router,
D-Link router/Airlink NAS http config,,
D-Link web camera http config,webcam,
D-Link/Airlink IP webcam http config,webcam,
DB Power IP Camera HTTP/ONVIF/P2P/RTSP/VOD multi-server,webcam,
DC-MPSERVER,media device,cpe:/h:lenovo:k91
DD-WRT milli_httpd,WAP,
DD-WRT milli_httpd,WAP,cpe:/h:belkin:f5d8235-4
DD-WRT milli_httpd,WAP,cpe:/o:linux:linux_kernel
DD-WRT milli_httpd,broadband router,cpe:/o:linux:linux_kernel
DD-WRT milli_httpd,,
DGLux5,,cpe:/a:dglogik:dglux5:$1
DIONIS httpd,,
DMRND httpd,media device,
DMRND httpd,media device,cpe:/h:samsung:ht-c5200
DNews Web Based Manager,,
DSLink 200 DSL router http config,router,
DSpy D2OL statistics httpd,,cpe:/o:microsoft:windows
DTA310 VoIP router http config,VoIP adapter,
DVBViewer digital TV viewer httpd,,cpe:/o:microsoft:windows
DVR 2400 Security Camera web interface,webcam,
DVR Systems webcam http interface,webcam,
DVRWeb viewer,,
DVSS Herculese DVR http config,webcam,
DYMO LabelWriter http admin,print server,
DYNEX $1 router http config,broadband router,cpe:/h:dynex:$1
Dahlia httpd,storage-misc,
Dahua webcam httpd,webcam,
Daikin air conditioning unit REST API httpd,specialized,
Dartware InterMapper httpd,,
DarwinStreamingServer,,
Dave Solin's Web Daemon,,
David WebBox httpd,,
Day CRX httpd,,
Dbox2 Neutrino httpd,media device,
DebTorrent httpd,,
Debian Apt-Cacher NG httpd,,cpe:/a:debian:apt-cacher:$1
Debian Apt-Cacher NG,,cpe:/a:debian:apt-cacher:$1
Debian Apt-proxy,,
Debut embedded httpd,printer,
DeepMetrix LiveStats httpd,,
DeepMetrix Statistics Server,,
Deerfield VisNetic WebSite Professional,,
DejaOffice Wi-Fi Sync,,cpe:/a:companionlink:dejaoffice_for_android | cpe:/o:google:android | cpe:/o:linux:linux_kernel
Dell $1 printer httpd,printer,cpe:/h:dell:$1
Dell 1355cnw MFC config httpd,printer,cpe:/h:dell:1355cnw
Dell 1815dn printer http config,printer,cpe:/h:dell:1815dn
Dell Embedded Remote Access card httpd,terminal server,
Dell KACE Management Appliance,remote management,cpe:/a:dell:kace_$1_systems_management_appliance_software:$3 | cpe:/h:dell:kace_$1_systems_management_appliance
Dell Laser Printer $1 http config,printer,
Dell N2000-series switch http admin,switch,
Dell OpenManage httpd,remote management,cpe:/a:dell:openmanage
Dell OpenManage switch http config,switch,
Dell PowerEdge OpenManage Server Administrator httpd admin,,cpe:/a:dell:openmanage_server_administrator | cpe:/o:microsoft:windows
Dell PowerEdge OpenManage Server Administrator httpd,,cpe:/a:dell:openmanage_server_administrator | cpe:/o:microsoft:windows
Dell PowerVault TL4000 http config,storage-misc,
Dell Remote Access Controller 6 http interface,remote management,cpe:/h:dell:remote_access_card:6
Dell Remote Access Controller http interface,remote management,cpe:/h:dell:remote_access_card
Dell SecureConnect Gateway,,
Dell TrueMobile $1 wireless router http config,WAP,cpe:/h:dell:truemobile_$1_wireless_broadband_router
Dell iDRAC 8 admin httpd,,cpe:/o:dell:idrac8_firmware
Dell iDRAC http admin,remote management,
Dell/EMC CX300 Navisphere http config,storage-misc,
Delta Networks Embedded HTTPD $2,broadband router,cpe:/h:netgear:$1
Delta Networks Embedded HTTPD,router,
Delta Networks Embedded HTTPD,,
Deluge bittorrent http interface,,cpe:/a:cherrypy:cherrypy
DeviceWISE Enterprise M2M httpd,,cpe:/a:telit:devicewise_m2m
Devline Line surveillance system httpd,security-misc,cpe:/a:devline:line
Devolo access point http admin,WAP,
Devolo dLAN 500 WiFi powerline adapter,WAP,cpe:/h:devolo:dlan_500
Devolo dLAN WiFi powerline adapter,WAP,
Dialogic Diva media board http config,specialized,cpe:/h:dialogic:diva
Didiwiki httpd,,
Digi Portserver $1 terminal server http config,terminal server,
DigiSprite httpd,webcam,
Digifort Enterprise 6.5 httpd,,cpe:/a:digifort:digifort:6.5.0_final | cpe:/o:microsoft:windows
Digital Loggers Web Power Switch II http config,power-device,
Digital Loggers Web Power Switch,power-misc,
Digital Stream DPS-1000 set-top box http config,media device,
Digitronic Digiweb httpd,,cpe:/a:digitronic:digiweb
Digium Asterisk AJAM,PBX,cpe:/a:digium:asterisk
Digium Asterisk GUI httpd,PBX,cpe:/a:digium:asterisk
Digtus DN-11001 broadband router http config,broadband router,
Dionaea honeypot httpd,,
DirecTV Genie,,
DirecTV HMC-Lite,media device,
DirecTV JSON RPC,media device,
DirecTV Set-top Box HTTP Exported Functionality (SHEF),media device,
DirecTV satellite receiver http interface,media device,
DirectAdmin httpd,,cpe:/a:directadmin:directadmin:$1
DirectUpdate dynamic IP updater,,
Docker Registry,,cpe:/a:redhat:docker
Docupoint Discovery search engine,,
Dolbey Fusion Focus Task Manager httpd,,cpe:/o:microsoft:windows
Domoticz home automation httpd,,cpe:/a:domoticz:domoticz
Dorgem webcam server http,,cpe:/o:microsoft:windows
Dot.Tunes iTunes sharing httpd,,
DoubleClick advertising httpd,,
Dr. Web AV-Desk httpd,,cpe:/a:openssl:openssl:$3 | cpe:/a:puc-rio:lua:$2 | cpe:/o:linux:linux_kernel
Dr.Web Enterprise Security Suite httpd,,cpe:/a:drweb:enterprise_security_suite:$1 | cpe:/a:gnu:zlib:$6 | cpe:/a:openssl:openssl:$5 | cpe:/a:puc-rio:lua:$4
DragonFly Storm httpd,,
DrayTek Vigor 3300 router http config,router,cpe:/h:draytek:vigor_3300
DrayTek Vigor ADSL router httpd,broadband router,
DrayTek Vigor ADSL router webadmin,broadband router,
Dreambox DVB Enigma httpd,media device,
Dreambox httpd,media device,
Dreambox streaming audio httpd,media device,
Dual DHCP DNS Server http viewer,,cpe:/o:microsoft:windows
Dump1090 (MalcomRobb fork) http interface,,cpe:/a:malcomrobb:dump1090
Dump1090 Mode S decoder http viewer,,
Dump1090 http interface,,cpe:/a:antirez:dump1090
Dune httpd,,
Duplicati httpserver,,cpe:/a:duplicati:httpserver
Dynalink RTA DSL router http config,router,
Dynamode/Motorola WAP http config,WAP,
E-Tech VPAD01 http config,VoIP adapter,
EBS RTPlatform UPnP httpd,,
EDA httpd,,
EHS embedded httpd,,cpe:/a:fritz_elfert:ehs
ELMO $1 Visual Presenter http config,media device,
ELOG blog httpd,,
EMC Clariion CX300 switch http config,switch,cpe:/h:emc:clariion_cx300
EMC Connectrix http config,,
EMC Navisphere CIM Object Manager httpd,,
EMC Smarts broker,,cpe:/a:emc:smarts
ENI-Web httpd,router,
ENI-Web httpd,,
ES File Explorer Name Response httpd,phone,cpe:/a:estrongs:es_file_explorer
ESERV-10,,
ESET NOD32 anti-virus update httpd,,cpe:/o:microsoft:windows
ESET NOD32 windows anti-virus http config,,cpe:/o:microsoft:windows
ESET Remote Administrator Web Console,,cpe:/a:eset:eset_remote_administrator
ESP-12 ESP8266 dev board httpd,,cpe:/a:lwip_project:lwip:$1
Easy Chat Server httpd,,
Easy File Management Web Server,,cpe:/a:efs:easy_file_management_web_server:$1 | cpe:/o:microsoft:windows
Easy File Sharing Web Server httpd,,cpe:/a:efssoft:easy_file_sharing_web_server:$1 | cpe:/o:microsoft:windows
EasyAntiCheat httpd,,
EasyAntiCheat,,cpe:/a:easyanticheat:easyanticheat
EasyFTP Server httpd,,
Eaton Powerware Environmental Rack Monitor httpd,power-misc,
EchoLink radio-over-VoIP http config,,
EdgePrism,,
Edgecast CDN httpd,,
Edgecast ECD httpd,,
Edgewater Networks Edgemarc 4562 VoIP gateway web config,VoIP adapter,
Edicom AS2 proxy server http config,proxy server,
Edimax PS-1206P print server,print server,
Edimax Printserver httpd,print server,
Effekta MH 6000 UPS http config,power-device,cpe:/o:hyperstone:hynetos:$1
Eggdrop stats.mod web statistics module,,cpe:/a:eggheads:eggdrop
Eicon Diva ISDN card configuration server,,
Elasticsearch Kibana,,cpe:/a:elasticsearch:kibana
Elasticsearch Kibana,,cpe:/a:elasticsearch:kibana:$2
Elasticsearch REST API,,cpe:/a:apache:lucene:$3 | cpe:/a:elasticsearch:elasticsearch:$2
Elasticsearch REST API,,cpe:/a:apache:lucene:$4 | cpe:/a:elasticsearch:elasticsearch:$1
Elasticsearch REST API,,cpe:/a:apache:lucene:$4 | cpe:/a:elasticsearch:elasticsearch:$3
Elasticsearch REST API,,cpe:/a:elasticsearch:elasticsearch
EliasDB,,cpe:/a:matthias_ladkau:eliasdb
Elmeg IP 290 VoIP phone http config,VoIP phone,cpe:/h:elmeg:ip_290
Emacs text editor,,cpe:/a:gnu:emacs:$1
Embedded Data Systems Ethernet-to-1-wire interface http admin,bridge,
Embedded HTTP Server,WAP,
Embedded HTTP Server,WAP,cpe:/h:dlink:$2
Embedded HTTP Server,WAP,cpe:/h:dlink:dwl-624
Embedded HTTP Server,firewall,
Embedded HTTP Server,router,
Embedded HTTP Server,router,cpe:/h:linksys:rvl200
Embedded HTTP Server,router,cpe:/h:usrobotics:$2
Embedded HTTP Server,switch,cpe:/h:enterasys:c5124
Embedded HTTP Server,,
Embedded HTTPD,WAP,cpe:/h:netgear:$1
Embedded Web Server httpd,printer,
Embedthis Appweb httpd,remote management,cpe:/a:mbedthis:appweb:$1
Embedthis HTTP lib httpd,,
Embedthis httpd,remote management,cpe:/h:dell:idrac7
Embedthis-Appweb,printer,cpe:/a:mbedthis:appweb:$1
Embedthis-Appweb,,cpe:/a:embedthis:appweb:$1
Embedthis-Appweb,,cpe:/a:mbedthis:appweb
Embedthis-Appweb,,cpe:/a:mbedthis:appweb:$2
Emerald Management Suite httpd,,
Emerson Network Power PSNA Web/SNMP Agent,power-misc,cpe:/h:emersonnetworkpower:psna_web
EnGenius ESR600 router http admin,,cpe:/h:engenius:esr600
EnGuarde Linux Guardian Digital Webtool http admin,,cpe:/o:linux:linux_kernel
Encore ENTC-1000 thin client http config,terminal,cpe:/h:encore:entc-1000
Enigma2 Dreambox http config,media device,
Enistic Smart Energy Controller httpd,power-misc,
Enphase httpd,power-device,
Enterasys RoamAbout Switch Manager http config,,
Epson printer httpd,printer,
EpsonNet WebAssist printer configuration,printer,
EpsonNet WebManager httpd,,cpe:/o:microsoft:windows
Equitrac Office EQCASService.exe,,cpe:/a:equitrac:office
Ericom Access Server,,cpe:/a:ericom:access_server
Ericsson MD Evolution PBX http config,PBX,
Estos GMBH webserver,,
Ethernut demo httpd,,cpe:/o:ethernut:nut_os
Etherpad lite,,
Eucalyptus httpd,,
Eudemon Server ,,cpe:/a:huawei:webserver:$1
Eudora Worldmail http config,,cpe:/o:microsoft:windows
EverFocus $1 DVR http viewer,media device,cpe:/h:everfocus:$1
EverFocus PowerPlex eDR400 security camera http config,webcam,
EverFocus webcam http config,webcam,cpe:/o:hyperstone:hynetos:$1
Everfocus webcam http config,webcam,
EvoCam http interface,webcam,
Evolis ID card printer httpd,printer,
Evological Evocam http config,,cpe:/o:apple:mac_os_x
Exalead CloudView,,
Expert Power Control NET http config,power-device,
ExpertAssist,,
Express.js httpd,,
Exreme Networks switch admin httpd,,cpe:/o:extremenetworks:extremeware_xos:$1
ExtremeWare XOS httpd,,cpe:/o:extremenetworks:extremeware_xos
ExtremeZ-IP httpd,,
Extron IPL T S2 http config,media device,
Extron ISS $1 video switch http config,,cpe:/h:extron:iss_$1
Eye-Fi Manager httpd,,cpe:/o:microsoft:windows
EyezOn Envisalink network module httpd,security-misc,cpe:/a:eyezon:envisalink
F*EX (Frams' Fast File EXchange) server,,cpe:/a:ulli_horlacher:fex
F-Secure Policy Manager Server httpd,,cpe:/o:microsoft:windows
F-Secure Policy Manager Server,,
F-Secure Policy Manager http interface,,
F5 BIG-IP load balancer AVR module,,cpe:/a:f5:big-ip_application_visibility_and_reporting
F5 BIG-IP load balancer httpd,load balancer,
FC Portal(FusionCompute Portal based SLES 11.*)(Apache Tomcat 7.0.68),,cpe:/a:huawei:http_server:fcportal
FC VRM(FusionCompute VRM based SLES11.*)(Apache Tomcat 7.0.68),,cpe:/a:huawei:http_server:fcvrm
FHEM Connector for Amazon Alexa,,cpe:/a:rudolf_koenig:fhem
FHEM home automation http admin,remote management,cpe:/a:rudolf_koenig:fhem
FHEM home automation httpd,,cpe:/a:rudolf_koenig:fhem
FHEMWEB Fhem frontend,,cpe:/a:rudolf_koenig:fhem
FRITZ!Box TR-069 service,broadband router,
FRITZ!Box http config,broadband router,
FRITZ!Box router http config,router,
FRITZ!WLAN Repeater N/G http config,WAP,
Facebook Proxygen httpd,,cpe:/a:facebook:proxygen
Facebook httpd,,
Fast WAP admin httpd,WAP,cpe:/h:fast:$1
Fastcom $1 WAP http admin,WAP,cpe:/h:fastcom:$1
Fastream IQ reverse http proxy,,cpe:/o:microsoft:windows
Fastream httpd,,cpe:/o:microsoft:windows
Fastviewer Web Conference Server,,
Ferhat Ayaz's Nano httpd,,
Fifi chat server http interface,,
File Share httpd,phone,cpe:/o:linux:linux_kernel
FileMaker Web Publishing httpd,,
FileMakerPro httpd,,cpe:/a:filemaker:filemaker_pro:$1
Finchsync PocketPC Synchonizer httpd,,
Fineground performance httpd,,
FireBrick $1 firewall http config,firewall,cpe:/h:firebrick:$1
FirePro Router WAP http config,WAP,
Firefly Media Server http config,,cpe:/a:fireflymediaserver:firefly_media_server:$1
Firefly,,
FirstClass Internet Access Server httpd,,cpe:/a:opentext:firstclass
FirstClass,,cpe:/a:opentext:firstclass:$1
FitNesse httpd,,
FleetConnect MoovManage WiFi gateway,WAP,
Flexense $2,,"cpe:/a:flexense:$SUBST(2,"" "",""""):$1"
Flightradar24 fr24feed settings httpd,,cpe:/a:flightradar24:fr24feed
Floosietek FTgate webmail httpd,,
Fluendo Flumotion httpd,,
Fnord httpd,,
Folding@Home FAHClient,,cpe:/a:stanford:fahclient
ForceTech ForceLive Transfer,media device,
Forcepoint Stonesoft NGFW http admin,firewall,
FortiClient firewall http config,firewall,
FortiGate Application filtering,,
FortiGate Endpoint Control httpd,,
FortiWifi 60CM wireless security appliance httpd,,cpe:/h:fortinet:fortiwifi_60cm
Fortinet Firewall SSL VPN,,
Fortinet FortiGate 50B or FortiWifi 60C or 80C firewall http config,firewall,cpe:/h:fortinet:fortigate:50b | cpe:/h:fortinet:fortiwifi:60c | cpe:/h:fortinet:fortiwifi:80c
Fortinet FortiGate SSL VPN remote http login,,
Fortinet FortiGate SSL VPN,security-misc,
Fortinet FortiGate firewall http proxy admin,firewall,
Fortinet FortiGate-5001 SSL VPN remote http login,,
Fortinet FortiGuard block page,security-misc,
Fortinet FortiWifi 60 http config,router,cpe:/h:fortinet:fortiwifi_60
Fortinet Fortiguard 900D SSL VPN,firewall,cpe:/h:fortinet:fortiguard_900d
Fortinet SSL VPN,security-misc,
Fortinet VPN/firewall http config,firewall,
Fortinet security device httpd,security-misc,
Fossil SCM httpd,,cpe:/a:d_richard_hipp:fossil
Foundry EdgeIron switch http config,switch,
Franz Allegroserve httpd,,
FreeBox FreeBrowser http interface,,cpe:/o:microsoft:windows
Freechal P2P httpd,,
Freedom MusicPal,media device,
Freenet Fred anonymous P2P,,
Freenet Message System web client,,
Freescale MQX embedded httpd,,cpe:/o:freescale:mqx
FrontPage Personal Webserver,,cpe:/o:microsoft:windows
Fuji Xerox $1 printer http config,printer,cpe:/h:fuji:xerox_$1
Fuji Xerox B6300 printer http config,printer,cpe:/h:fuji:xerox_b6300
Fuji Xerox DocuCentre Color $1 http config,printer,cpe:/h:fuji:xerox_docucentre_color_$1
Fuji-Xerox $1 httpd,printer,cpe:/h:fuji_xerox:$1
Fuji-Xerox WorkCentre $1 printer http config,printer,
FujiXerox ApeosPort-IV C4470 http config,printer,
FujiXerox Document Centre $1 http config,printer,
Fujitsu $1 httpd,remote management,
Fujitsu ServerView Remote Connector soap,,cpe:/a:fujitsu:serverview_operations_manager:$1
Fujitsu Siemens ServerView RAID Manager http interface,,
Funkwerk embedded httpd,,cpe:/o:funkwerk:boss
FusionReactor web server monitor,,
GAI-Tronics Commander VoIP phone http config,VoIP phone,
GBConcept Alexandrie httpd,,
GE Ethernet Global Data Configuration Server,,
GFI Network Service Monitor http config,,
GM Streaming Server httpd,webcam,
GNU Httptunnel,,
GNUMP3d streaming server,,cpe:/a:gnu:gnump3d:$1
GNUMP3d,,cpe:/a:gnu:gnump3d:$1
GWAVA Reload Server httpd,,cpe:/a:gwava:reload_server:$1
Gadspot/Avtech $1 webcam http config,webcam,
Galleon TiVo Application Port http config,media device,
Galleon TiVo Publishing Port http config,media device,
Galty Technologies GaltyExplorer httpd,,cpe:/o:microsoft:windows
Ganeti httpd,,cpe:/a:ganeti_project:ganeti
Gargoyle WAP firmware httpd,,cpe:/o:linux:linux_kernel
Gate One http terminal emulator,,
Gatling httpd,,
Gembird/Hawking/Netgear print server http config,print server,
Gemius Hit Counter,,
Gemtek P560 WAP http config,WAP,cpe:/h:gemtek:p560
Gemtek Systems GemtekBalticHTTPD,,
GeneWeb httpd,,
Generic router http config,router,
GeoVision GeoHttpServer for webcams,webcam,
Geutebrueck GeViControl video surveillance http admin,security-misc,
Gigablast search engine httpd,,cpe:/a:gigablast:open-source-search-engine
Gigabyte $1 WAP http config,WAP,
Gigabyte B49G WAP http config,WAP,
Gigaset DECT phone,phone,
Global Cache GC-100 http config,media device,
Global Technology Associates Gnat Box firewall http config,firewall,
GlobalSCAPE EFT Server httpd,,
GlobalSCAPE Secure Server httpd,,cpe:/o:microsoft:windows
GlobespanVirata httpd,,
Globus Toolkit Java Container httpd,,
Globus Web Service httpd,,
Glucose WeatherPop Advanced httpd,,cpe:/o:apple:mac_os_x
GoAhead WebServer,PBX,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,WAP,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,WAP,cpe:/a:goahead:goahead_webserver | cpe:/h:trendnet:tew-637ap
GoAhead WebServer,WAP,cpe:/a:goahead:goahead_webserver | cpe:/h:zyxel:$1
GoAhead WebServer,WAP,cpe:/a:goahead:goahead_webserver | cpe:/h:zyxel:p-330w
GoAhead WebServer,broadband router,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,media device,cpe:/a:goahead:goahead_webserver | cpe:/o:harman:amx_firmware
GoAhead WebServer,remote management,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,router,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,specialized,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,storage-misc,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,switch,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,switch,cpe:/a:goahead:goahead_webserver | cpe:/h:dell:powerconnect_3024
GoAhead WebServer,switch,cpe:/a:goahead:goahead_webserver | cpe:/h:linksys:srw2024
GoAhead WebServer,webcam,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,,cpe:/a:embedthis:goahead_webserver
GoAhead WebServer,,cpe:/a:embedthis:goahead_webserver:$1
GoAhead WebServer,,cpe:/a:goahead:goahead_webserver
GoAhead WebServer,,cpe:/a:goahead:goahead_webserver | cpe:/h:logilink:wc0002b
GoAhead WebServer,,cpe:/a:goahead:goahead_webserver:$1
GoAhead WebServer,,cpe:/a:goahead:goahead_webserver:$1 | cpe:/a:peersec:matrixssl:$2
GoDaddy error,,
GoPro HERO3 camera http interface,webcam,cpe:/h:gopro:hero3
Gogs git httpd,,cpe:/a:gogs:gogs::::$1
Golang net/http server,,cpe:/a:golang:go
Golang net/http server,,cpe:/a:golang:go | cpe:/a:google:cadvisor
Golang net/http server,,cpe:/a:golang:go | cpe:/a:influxdata:influxdb | cpe:/a:protocol_labs:go-ipfs
GoldStar iPECS 50B PBX http config,PBX,
Goliath httpd,,cpe:/a:postrank:goliath
Good.iWare WebDAV Server,media device,cpe:/h:apple:ipad | cpe:/o:apple:iphone_os
Good.iWare WebDAV Server,phone,cpe:/h:apple:iphone | cpe:/o:apple:iphone_os
GoodTech Systems telnet server http config,,cpe:/o:microsoft:windows
Google App Engine SDK,,
Google App Engine httpd,,
Google App Engine httpd,,cpe:/a:python:python:$2
Google Chromecast httpd,media device,
Google Desktop Search for Linux Beta httpd,,cpe:/o:linux:linux_kernel
Google Mini search appliance httpd,,
Google OnHub WAP,WAP,
Google Search Appliance httpd,specialized,cpe:/a:google:search_appliance_software
Google Video Server,,
Google Web Server,,
Google Web Toolkit httpd,,cpe:/a:google:web_toolkit
Google WiFi http admin,WAP,
Google httpd,,
Google httpd,,cpe:/o:linux:linux_kernel
GoogleMini Search Appliance httpd,,
GoogleMini search appliance httpd,,
Gophish httpd,,cpe:/a:jordan_wright:gophish
Gordian httpd,webcam,
Gordian httpd,,
Gotify WebUI,,cpe:/a:gotify:gotify
GotoMeeting httpd,,
Grafana http,,cpe:/a:grafana:grafana
Grandstream $1 VoIP phone http config,VoIP phone,cpe:/h:grandstream:$1
Grandstream $1 http config,,
Grandstream GXP2000 http config,VoIP adapter,cpe:/h:grandstream:gxp2000
Grandstream GXV-3000 VoIP phone http config,VoIP phone,cpe:/h:grandstream:gxv-3000
Grandstream HT286 VoIP router http config,VoIP adapter,cpe:/h:grandstream:ht286
Grandstream HT502 VoIP router http config,VoIP adapter,
Grandstream HT502 VoIP router http config,VoIP adapter,cpe:/h:grandstream:ht502
Grandstream VoIP phone http config,VoIP phone,
Grandstream httpd,VoIP phone,
Graylog2 httpd,,cpe:/a:graylog:graylog2
Graylog2 web interface,,cpe:/a:graylog:graylog2
Green Packet DX230 WAP http config,WAP,cpe:/h:green_packet:dx230
Greenbone Security Assistant,,cpe:/a:greenbone:greenbone_security_assistant
Greenbone Security Assistant,,cpe:/a:greenbone:greenbone_security_assistant:2.0.1
Greenbone Security Assistant,,cpe:/a:greenbone:security_assistant
Grisoft AVG TCP Server,,
Groove-Relay http service,,cpe:/a:microsoft:groove_server:$1
Gunicorn,,cpe:/a:gunicorn:gunicorn
Gunicorn,,cpe:/a:gunicorn:gunicorn:$1
H2 Database console,,cpe:/a:h2group:h2database
H2 database http console,,
H3C switch http config,switch,
HBHTTP,,cpe:/o:linux:linux_kernel
HOP httpd,,
HP $1 printer http config,printer,cpe:/h:hp:$1
HP 9000 http service,,cpe:/o:hp:hp-ux
HP Apache-based httpd,,cpe:/h:hp:apache-based_web_server | cpe:/o:hp:hp-ux
HP Apache-based httpd,,cpe:/h:hp:apache-based_web_server:$1 | cpe:/o:hp:hp-ux
HP Client Automation httpd,,
HP Color LaserJet $2 http config,printer,cpe:/h:hp:laserjet_$2
HP Data Center Fabric Manager http config,,
HP Dream Screen media player http config,media device,
HP Embedded Web Server remote scan service,printer,
HP Guardian Service Processor httpd,,cpe:/o:hp:hp-ux
HP ISEE httpd,,
HP Integrated Lights-Out http config,remote management,cpe:/h:hp:integrated_lights-out
HP Integrated Lights-Out https redirector,remote management,cpe:/h:hp:integrated_lights-out
HP Integrated Lights-Out web interface,,cpe:/h:hp:integrated_lights-out
HP Integrated Lights-Out web interface,,cpe:/h:hp:integrated_lights-out:$1
HP JetDirect Card in a LaserJet printer,printer,
HP JetDirect printer embedded httpd,printer,
HP JetDirect printer http config,printer,
HP JetDirect printer webadmin,printer,
HP Jetdirect httpd,,
HP LaserJet $1 printer http config,printer,cpe:/h:hp:laserjet_$1
HP LaserJet $2 printer http config,printer,cpe:/h:hp:laserjet_$1
HP LaserJet $2 printer http config,printer,cpe:/h:hp:laserjet_$2
HP LaserJet CP1205nw or P1606 http config,printer,cpe:/h:hp:laserjet_cp1205nw | cpe:/h:hp:laserjet_p1606
HP LaserJet Pro MFP config httpd,printer,cpe:/h:hp:laserjet_$1
HP LaserJet printer http admin,printer,
HP MSM Controller or 1920-series switch httpd,,
HP Media Vault http config,media device,
HP ProCurve 1800-24G switch http config,switch,cpe:/h:hp:procurve_switch_1800 | cpe:/o:hp:procurve_switch_software
HP ProCurve Switch 1810G http config,switch,cpe:/h:hp:procurve_switch_1810g | cpe:/o:hp:procurve_switch_software
HP ProCurve httpd,switch,
HP Procurve 1810G switch http config,switch,cpe:/h:hp:procurve_switch_1810g | cpe:/o:hp:procurve_switch_software
HP Radia Integration Server httpd,,
HP Remote Lights-Out Edition II http config,remote management,cpe:/h:hp:integrated_lights-out
HP Remote Lights-Out http config,remote management,
HP SAN Manager ServiceRegistry httpd,,
HP SIM NVDKIT.exe http config,,
HP Storage Management Utility,storage-misc,
HP StorageWorks AG118A tape autoloader http config,storage-misc,
HP StorageWorks MSL2024 tape library httpd,storage-misc,
HP StorageWorks MSL4048 http config,storage-misc,
HP System Management Homepage,,cpe:/a:hp:compaqhttpserver:$1 | cpe:/a:hp:system_management_homepage:$2
HP System Management Homepage,,cpe:/a:hp:system_management_homepage | cpe:/o:hp:hp-ux
HP System Management httpd,,
HP Tape Library Web Interface Software httpd,,
HP TippingPoint 10 IPS http config,firewall,
HP TippingPoint 110 or 1200E IPS http config,firewall,
HP TippingPoint 1200E or 5000E IPS http config,firewall,
HP V1810 switch httpd,switch,cpe:/h:hp:v1810
HP Web Jetadmin print server http config,print server,cpe:/a:hp:web_jetadmin:$1
HP Web Jetwebadmin,,
HP Web Jetwebadmin,,cpe:/o:microsoft:windows
HP-ChaiSOE,printer,
HP/Compaq Integrated Lights-Out http config,remote management,cpe:/h:hp:integrated_lights-out
Hacking Team Remote Control System Adobe Air command and control httpd,,
Hacking Team Remote Control System command and control httpd,,
Hammer $2 myshare http config,storage-misc,cpe:/a:php:php:$1
Handle System Proxy Server,,
HansaWorld Standard ERP,,cpe:/a:hansaworld:standard_erp:$1
Harmonic NSG QAM video delivery httpd,media device,
Haserl CGI wrapper,,
HashiCorp Consul agent,,cpe:/a:hashicorp:consul
HashiCorp Consul service discovery httpd,,cpe:/a:hashicorp:consul
Hashicorp Vault,,cpe:/a:hashicorp:vault
Hauppauge DVB EPG http config,media device,
Hay Systems HSL 2.75G Femtocell http config,WAP,cpe:/o:hay_systems:hsl_2.75g_femtocell
Helix Mobile Server httpd,,cpe:/o:microsoft:windows
HellBot Trojan httpd,,cpe:/o:microsoft:windows
Henry A$1 biometric access control,security-misc,
Henry httpd,telecom-misc,
Hentai@Home P2P downloader,,
Hentai@Home httpd,,
Hercules mainframe emulator http config,,
Hi-Track httpd,storage-misc,
Hiawatha httpd,,
Hiawatha,WAP,
Hiawatha,,
HighPoint Raidman web config http,storage-misc,
Highwinds CDN httpd,,
HikVision NVR or camera http config,webcam,
Hikvision DVR httpd,media device,
Hikvision DVR web UI,media device,
Hikvision IP camera httpd,webcam,
Hikvision Network Video Recorder http admin,webcam,
Hikvision camera httpd,webcam,
Hilscher servX httpd,,cpe:/a:hilscher:servx
Hitachi Cosminexus httpd,,cpe:/a:hitachi:cosminexus_application_server
Hitachi Web Server httpd,,
HomeSeer Home Control Web Interface,,cpe:/o:microsoft:windows
Honeyd httpd,,cpe:/a:python:python:$2
HornetQ JMS http admin,,
Hosafe ONVIF camera SOAP httpd,webcam,
HostMonitor Web Service,,cpe:/o:microsoft:windows
Hot Hotbox router admin httpd,broadband router,cpe:/h:hot:hotbox
HttpFileServer httpd,,cpe:/a:massimo_melina:httpfileserver
HttpFileServer httpd,,cpe:/a:rejetto:httpfileserver | cpe:/o:microsoft:windows
HttpFileServer httpd,,cpe:/a:rejetto:httpfileserver:$1 | cpe:/o:microsoft:windows
HuaCheng firewall http config,firewall,
