产品信息,设备类型,CPE信息
Netatalk,,"cpe:/a:netatalk:netatalk:$SUBST(2,""-"",""."") | cpe:/o:linux:linux_kernel:2.6"
Netatalk,,cpe:/a:netatalk:netatalk:1.6
Netatalk,,cpe:/a:netatalk:netatalk:2
Novell NetWare AFP,,cpe:/o:novell:netware
Novell Open Enterprise Server,,cpe:/a:novell:open_enterprise_server:2 | cpe:/o:linux:linux_kernel
,,
,,cpe:/o:microsoft:windows
AFS fileserver,,
Code-Crafters Ability FTP Server afsmain admin,,cpe:/a:code-crafters:ability_ftp_server | cpe:/o:microsoft:windows
Arla,,
OpenAFS,,cpe:/a:openafs:openafs:$1
Transarc AFS,,
AirDroid status port,phone,cpe:/a:airdroid:airdroid | cpe:/o:google:android
Crestron AirMedia audio data channel,,
Apple AirPort or Time Capsule admin,,
airserv-ng,,cpe:/a:aircrack-ng:airserv-ng
Apache Jserv,,
Apache Jserv,,
Oracle Containers for J2EE,,cpe:/a:oracle:containers_for_j2ee
Aleph Integrated Library System,,
All-Seeing Eye,,
Altiris remote monitoring agent,,
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.11
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.3
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.3.3
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.4
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.4.0
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.4.5
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.5
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.5.0
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.6.0
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.7
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.8.0
amavisd-new AM.PDP,,cpe:/a:ijs:amavisd_new:2.8.1
Amanda backup service,,
Amanda backup system index server,,cpe:/a:amanda:amanda
Amanda backup system index server,,cpe:/a:amanda:amanda:$2
Advanced Message Queue Protocol,,
AMX ICSP,,cpe:/o:windriver:vxworks
NOD32 AntiVirus,,cpe:/a:eset:nod32_antivirus:$1
Symantec AntiVirus Scan Engine,,cpe:/a:symantec:antivirus | cpe:/a:symantec:antivirus_scan_engine
drweb anti-virus,,
AnyNet SNA,,
anyRemote remote control daemon,,
ActiveMQ OpenWire transport,,
ActiveMQ OpenWire transport,,cpe:/a:apache:activemq:$1
ActiveMQ OpenWire transport,,cpe:/a:apache:activemq:$4 | cpe:/o:linux:linux_kernel:$2
apcupsd,,
Aperio Algorithm Framework,,
Cleo A+,,
Apollo Server database access,,
App Appguard UserDatabase,,cpe:/a:app_bv:appguard_userdatabase:$1
Apple iPhoto,,cpe:/a:apple:iphoto:$1
Mac OS X Server Password Server,,cpe:/o:apple:mac_os_x
Apple Remote Events,,cpe:/o:apple:mac_os_x
Cisco Application Peering Protocol,load balancer,
Arcserve Unified Data Protection Global Deduplication DataStore,,cpe:/a:arcserve:udp
ARCserve Client Agent,,cpe:/a:ca:arcserve_client_agent
ARCserve Discovery,,cpe:/a:ca:arcserve_client_agent
Argus network analyzer,,
Arkeia Network Backup,,
Arkeia arkstats,,
articy:draft server,,cpe:/a:nevigo:articy%3adraft
artsd,,
Arucer backdoor,,cpe:/o:microsoft:windows
IBM OS/400 as-servermapd,,cpe:/o:ibm:os_400
IBM Client Tools signon,,
IBM Service Tool Server AS-STS,,
Cleo LexiCom AS2,,
SuperMicro IPMI RMCP,,cpe:/o:supermicro:intelligent_platform_management_firmware
,,
ASPI server,,cpe:/o:sun:sunos
Asterisk Call Manager Proxy,,cpe:/a:digium:asterisk
Asterisk Call Manager,,cpe:/a:digium:asterisk:$1
ASUS DTNFCServer,,
ASUS Wi-Fi GO! file transfer,,cpe:/a:asus:wi-fi_go
Atalla Hardware Security Module payment system,specialized,
Athena athinfod,,
AudioWorks sound server,,cpe:/o:sgi:irix
Visionsoft Audit on Demand Service,,cpe:/o:microsoft:windows
Authpoint payment processing,,
AutoMate Task Service,,
Autonomic Controls MRAD Bridge,media device,
CA AutoSys RCS Listener,,
Avaya Alarm Origination Manager,firewall,
AVG daemon mode,,cpe:/a:avg:anti-virus:$1
G Data AVK anti-virus,,
**BACKDOOR**,,cpe:/o:microsoft:windows
Beast Trojan,,cpe:/o:microsoft:windows
Blackshades connection port,,cpe:/o:microsoft:windows
Blackshades transfer port,,cpe:/o:microsoft:windows
CAFEiNi trojan,,cpe:/o:microsoft:windows
"Czech ""zadej heslo"" backdoor",,cpe:/o:microsoft:windows
"Darkmoon backdoor ""reptile"" ftpd",,cpe:/o:microsoft:windows
Deep Throat keylogger,,
Gaobot backdoor,,cpe:/o:microsoft:windows
Generic Kibuv worm,,cpe:/o:microsoft:windows
Haxdoor trojan,,cpe:/o:microsoft:windows
JTRAM backdoor,,cpe:/o:microsoft:windows
Jeem backdoor,,cpe:/o:microsoft:windows
Kibuv.b worm,,cpe:/o:microsoft:windows
Korgo worm,,cpe:/o:microsoft:windows
Linux.Flooder.SS C&C server,,cpe:/o:linux:linux_kernel
NerdBot backdoor,,cpe:/o:microsoft:windows
No-auth shell,,
OptixPro backdoor,,cpe:/o:microsoft:windows
ProRat trojan,,cpe:/o:microsoft:windows
PsychoPhobia backdoor,,
RBackdoor,,cpe:/o:microsoft:windows
Subseven backdoor,,
Subseven backdoor,,cpe:/o:microsoft:windows
Theef trojan,,cpe:/o:microsoft:windows
Windows trojan,,cpe:/o:microsoft:windows
dhcpse.exe,,cpe:/o:microsoft:windows
netcat -e,,
r0nin rootkit backdoor,,
w4ck1ng-shell,,
Veritas Backup Exec Remote Agent,,cpe:/a:symantec:veritas_backup_exec
BACnet building automation,,
Bacula file daemon,,
Bacula storage daemon,,
MikroTik bandwidth-test server,,
Banner Engineering iVu Command Channel,specialized,
Barracuda Web Security Gateway clustering protocol,,cpe:/a:barracuda:web_security_gateway
Barracuda Domain Controller Agent,,
ADS-B flight data,,
Blackberry Administration Service - Native Code Container,,
Blackberry Administration Service - Native Code Generator,,
Blackberry Administration Service,,
Apple Xgrid Controller,specialized,cpe:/o:apple:mac_os_x
Blackboard WebCT chat server,,
SCOTTY Filetransfer,,cpe:/a:scottygroup:filetransfer | cpe:/o:microsoft:windows
SubEthaEdit collaborative text editor,,cpe:/o:apple:mac_os_x
,,
beidpcscd Belgian eID daemon,,
Bentley Systems ProjectWise,,
Battlefield 2 ModManager Remote Console,,
,,
Joe's j-chkmail biffd,,
NotifyMail biffd,,
BigAnt Messenger server,,
Bash shell,,cpe:/a:gnu:bash
